containerID,container_memReq
c_1,1.56
c_2,3.13
c_3,1.56
c_4,1.56
c_5,1.56
c_6,1.56
c_7,1.56
c_8,1.56
c_9,1.56
c_10,3.13
c_11,1.56
c_12,3.13
c_13,3.13
c_14,1.56
c_15,3.13
c_16,1.56
c_17,3.13
c_18,1.56
c_19,3.13
c_20,1.56
c_21,1.56
c_22,1.56
c_23,3.13
c_24,1.56
c_25,1.56
c_26,3.13
c_27,3.13
c_28,1.56
c_29,1.56
c_30,1.56
c_31,2.34
c_32,1.56
c_33,1.56
c_34,1.56
c_35,1.56
c_36,1.56
c_37,1.56
c_38,1.56
c_39,1.56
c_40,3.13
c_41,1.56
c_42,1.95
c_43,1.56
c_44,1.56
c_45,1.56
c_46,1.56
c_47,1.56
c_48,2.34
c_49,2.34
c_50,1.56
c_51,1.56
c_52,1.56
c_53,1.56
c_54,1.56
c_55,1.56
c_56,1.56
c_57,1.56
c_58,1.56
c_59,1.56
c_60,3.13
c_61,1.56
c_62,1.56
c_63,6.25
c_64,1.56
c_65,1.56
c_66,1.56
c_67,3.13
c_68,1.56
c_69,1.56
c_70,9.38
c_71,1.56
c_72,3.13
c_73,1.56
c_74,1.56
c_75,3.13
c_76,1.56
c_77,1.56
c_78,3.13
c_79,3.13
c_80,1.56
c_81,1.56
c_82,1.56
c_83,1.56
c_84,1.95
c_85,1.56
c_86,1.56
c_87,1.56
c_88,1.56
c_89,1.56
c_90,1.56
c_91,1.56
c_92,1.56
c_93,1.56
c_94,3.13
c_95,1.56
c_96,1.56
c_97,1.56
c_98,1.56
c_99,3.13
c_100,1.56
c_101,1.56
c_102,1.56
c_103,1.95
c_104,1.56
c_105,3.13
c_106,1.56
c_107,1.56
c_108,1.56
c_109,1.56
c_110,1.56
c_111,1.56
c_112,1.56
c_113,1.56
c_114,6.25
c_115,3.13
c_116,1.56
c_117,1.56
c_118,1.56
c_119,1.56
c_120,1.56
c_121,1.56
c_122,3.13
c_123,1.56
c_124,1.56
c_125,3.13
c_126,3.13
c_127,1.56
c_128,1.56
c_129,1.56
c_130,1.56
c_131,1.56
c_132,1.56
c_133,1.56
c_134,1.56
c_135,1.56
c_136,3.13
c_137,3.13
c_138,1.56
c_139,1.56
c_140,1.56
c_141,3.13
c_142,1.56
c_143,1.56
c_144,1.56
c_145,1.56
c_146,1.56
c_147,6.25
c_148,1.56
c_149,1.95
c_150,1.56
c_151,6.25
c_152,1.56
