machineID,machine_include_apps,machine_include_containers
m_2556,31,31
m_962,30,30
m_644,15,23
m_1423,9,9
m_334,31,31
m_2825,16,19
m_2250,23,23
m_1646,23,23
m_434,32,32
m_1165,13,17
m_3681,26,28
m_548,11,13
m_1259,18,18
m_1821,16,17
m_2287,10,16
m_2514,17,20
m_969,14,22
m_1622,14,20
m_690,12,14
m_789,30,30
m_1218,32,32
m_2721,30,30
m_2525,9,12
m_1724,13,24
m_2191,25,25
m_3427,13,18
m_1386,19,23
m_3760,15,19
m_647,28,28
m_2146,30,30
m_2228,9,9
m_1088,32,32
m_786,31,32
m_1005,13,19
m_2606,28,29
m_554,20,21
m_2194,31,31
m_1520,31,31
m_849,30,30
m_1844,18,22
m_3861,16,19
m_2790,17,19
m_2781,15,15
m_2042,8,8
m_1637,13,15
m_1382,21,21
m_2654,12,15
m_3895,14,18
m_2906,33,33
m_504,11,16
m_778,20,23
m_2503,16,18
m_2954,19,23
m_2651,17,20
m_2567,32,32
m_2257,18,18
m_3421,10,12
m_2637,18,25
m_1277,13,18
m_521,10,10
m_1089,20,23
m_673,14,16
m_2462,9,9
m_3261,33,33
m_3558,13,14
m_1344,12,14
m_3831,20,20
m_2623,13,15
m_4019,24,24
m_2766,10,10
m_3483,23,23
m_3821,18,21
m_3766,19,22
m_959,13,17
m_3065,13,15
m_3898,13,18
m_1461,13,14
m_179,7,14
m_1421,17,17
m_1501,13,22
m_1138,17,19
m_2220,19,22
m_1852,9,9
m_2135,17,22
m_3787,30,30
m_111,18,19
m_1776,8,8
m_1130,30,30
m_2847,30,30
m_3619,26,26
m_3965,8,8
m_1261,10,15
m_2421,16,20
m_572,9,9
m_1746,19,23
m_3516,30,30
m_2409,10,14
m_2664,17,20
m_1122,34,34
m_1006,17,21
m_590,15,17
m_1074,15,16
m_705,13,16
m_1346,10,10
m_3677,14,15
m_2014,9,9
m_1596,20,24
m_3598,17,17
m_1969,8,8
m_1728,28,28
m_1464,15,18
m_2404,24,24
m_131,18,19
m_2572,27,27
m_488,20,23
m_1094,10,17
m_265,28,28
m_267,22,23
m_2570,28,28
m_1988,12,15
m_3347,10,12
m_2342,8,8
m_1798,8,8
m_3447,13,15
m_3626,25,25
m_202,30,31
m_2368,5,19
m_1348,14,20
m_3789,21,23
m_230,30,30
m_3124,22,23
m_450,14,16
m_2270,28,28
m_1322,17,21
m_3319,10,10
m_2338,22,22
m_3333,9,9
m_2759,11,11
m_1400,22,24
m_734,10,19
m_2058,19,19
m_2114,22,23
m_1415,16,20
m_2591,19,23
m_1629,31,31
m_429,32,32
m_3390,14,17
m_3032,17,19
m_117,9,9
m_2345,17,20
m_343,14,17
m_3560,26,26
m_3687,18,23
m_2235,23,23
m_2358,22,23
m_794,9,9
m_1805,15,24
m_557,32,33
m_3028,30,30
m_2769,10,10
m_1786,13,16
m_3736,16,19
m_93,13,17
m_3786,30,31
m_2428,23,23
m_981,20,23
m_776,21,21
m_2982,16,18
m_2932,11,15
m_3733,21,23
m_3873,33,33
m_1443,23,23
m_1903,14,24
m_1908,16,17
m_1978,20,24
m_2337,21,23
m_1885,10,10
m_1871,11,11
m_678,9,9
m_1879,14,14
m_411,18,22
m_3218,12,17
m_2622,18,20
m_1977,32,32
m_3647,13,17
m_4003,29,29
m_831,17,23
m_44,32,32
m_1663,22,24
m_3908,16,21
m_515,15,17
m_249,17,17
m_1201,31,31
m_1504,31,31
m_3338,19,25
m_2432,14,19
m_2690,10,16
m_2062,16,19
m_889,18,18
m_872,27,27
m_1300,15,15
m_2181,12,16
m_2124,17,22
m_2968,21,23
m_1309,16,23
m_427,17,20
m_1706,9,13
m_380,16,17
m_2346,16,18
m_3876,9,9
m_1221,7,8
m_2610,11,13
m_5,21,22
m_727,15,23
m_609,20,23
m_1205,7,13
m_1044,28,28
m_942,14,16
m_1958,13,14
m_2839,14,23
m_507,9,9
m_3011,22,22
m_3366,17,17
m_2521,13,13
m_2563,13,21
m_2223,33,33
m_2385,21,23
m_479,11,18
m_762,9,9
m_1332,30,30
m_3932,21,23
m_3408,16,20
m_3323,17,21
m_860,9,9
m_3616,15,15
m_758,16,16
m_1343,12,13
m_1058,33,33
m_3295,14,16
m_3241,28,29
m_1546,16,16
m_318,11,12
m_1987,16,22
m_529,19,21
m_438,19,20
m_2951,9,9
m_2269,8,8
m_2169,10,13
m_3128,16,18
m_3139,14,16
m_3097,33,33
m_753,13,15
m_22,29,29
m_3341,30,30
m_3854,11,14
m_1964,12,17
m_722,31,31
m_1945,19,20
m_3202,30,30
m_3642,19,20
m_3132,30,31
m_3806,12,14
m_3700,10,10
m_1513,13,17
m_2940,13,17
m_757,12,18
m_977,11,16
m_2574,30,30
m_3121,22,24
m_1362,7,7
m_337,13,17
m_3349,29,29
m_2329,9,9
m_1137,19,23
m_204,17,17
m_100,14,22
m_2673,18,18
m_3368,4,4
m_443,14,18
m_1467,9,9
m_1220,14,19
m_2738,29,29
m_2010,9,9
m_3169,8,8
m_918,9,9
m_1104,21,21
m_1408,10,10
m_3448,8,8
m_2894,18,23
m_3079,20,20
m_3513,21,22
m_2589,14,18
m_2474,32,32
m_2892,14,17
m_3561,21,22
m_994,19,21
m_2027,31,31
m_1232,29,29
m_700,17,20
m_610,17,19
m_2225,25,25
m_3363,29,29
m_1476,12,16
m_2755,29,29
m_1891,16,18
m_1116,30,30
m_3207,13,15
m_3109,17,22
m_795,5,14
m_2440,18,20
m_961,17,23
m_2758,13,17
m_2995,17,19
m_3212,10,14
m_1808,10,14
m_3674,12,16
m_442,30,30
m_155,20,20
m_164,18,21
m_694,19,23
m_2650,16,24
m_3617,34,34
m_2065,8,8
m_2843,19,21
m_1159,30,30
m_2509,13,16
m_1078,16,26
m_1102,25,25
m_2976,6,6
m_718,18,23
m_3815,10,15
m_3221,31,32
m_685,20,22
m_1998,11,14
m_1093,33,33
m_1775,29,29
m_1148,9,9
m_3727,16,19
m_524,18,23
m_704,14,18
m_3284,13,14
m_1482,17,19
m_2098,22,22
m_143,31,32
m_3266,30,31
m_1773,31,31
m_1968,13,28
m_3354,19,22
m_3136,17,21
m_3528,18,19
m_3297,16,23
m_1176,8,9
m_333,7,7
m_2552,7,7
m_2956,23,25
m_3565,16,16
m_2488,24,24
m_1502,29,29
m_404,23,24
m_3834,10,10
m_3811,32,32
m_2867,31,31
m_3779,10,10
m_3494,34,34
m_3870,30,30
m_88,9,23
m_1290,14,21
m_1519,15,20
m_2066,19,21
m_2767,20,23
m_841,18,18
m_1038,19,21
m_656,13,17
m_1139,15,22
m_3309,33,33
m_972,22,22
m_2797,10,10
m_3378,9,9
m_1281,3,23
m_3741,10,14
m_1333,20,23
m_2907,33,33
m_3728,15,15
m_2109,14,17
m_3498,13,19
m_3340,21,24
m_988,15,17
m_754,20,23
m_150,13,22
m_558,26,26
m_3665,32,32
m_3334,32,32
m_3947,30,30
m_2453,18,20
m_342,11,14
m_2811,20,22
m_733,32,32
m_2479,20,23
m_2716,26,28
m_163,32,32
m_613,28,28
m_2019,14,18
m_3941,27,27
m_1910,21,23
m_38,30,30
m_750,16,18
m_2413,12,17
m_878,20,22
m_1788,31,31
m_2776,30,30
m_403,23,23
m_2740,29,29
m_145,17,17
m_1661,31,31
m_327,32,32
m_1337,33,33
m_537,31,31
m_1764,15,18
m_1114,8,8
m_1972,15,22
m_489,17,18
m_3072,12,17
m_41,9,9
m_851,14,17
m_3042,10,12
m_2771,15,22
m_3361,11,12
m_3719,9,9
m_3336,9,9
m_3590,4,12
m_651,15,17
m_3901,16,16
m_555,30,30
m_1390,26,26
m_1862,20,23
m_3693,17,21
m_2560,28,28
m_3643,31,32
m_1599,19,20
m_1414,16,28
m_2596,33,33
m_1316,31,31
m_2880,9,9
m_780,6,13
m_2303,32,32
m_2748,23,24
m_3276,21,21
m_378,21,23
m_1341,22,23
m_296,13,15
m_2520,29,29
m_544,12,20
m_2412,19,19
m_1293,15,20
m_356,15,16
m_3784,22,24
m_1328,20,21
m_661,31,31
m_807,13,16
m_1739,12,15
m_162,15,16
m_3825,14,16
m_1951,28,29
m_2390,10,19
m_980,14,16
m_3635,28,28
m_629,19,22
m_1851,12,18
m_2254,8,8
m_2835,15,17
m_1050,15,17
m_3151,30,31
m_3916,9,9
m_2889,6,7
m_2696,18,18
m_261,31,31
m_3557,28,28
m_2990,23,23
m_2544,31,31
m_36,24,24
m_2993,32,32
m_2904,32,32
m_3070,10,14
m_626,15,22
m_2172,32,32
m_1023,13,22
m_2984,9,9
m_1860,10,14
m_2242,18,18
m_3045,9,9
m_3186,28,29
m_473,10,16
m_2429,22,22
m_3775,32,32
m_221,14,14
m_470,29,29
m_1374,22,22
m_1051,33,33
m_2204,31,31
m_1864,11,17
m_1509,11,16
m_4000,25,26
m_545,15,22
m_792,13,17
m_3329,6,6
m_2898,16,20
m_3802,15,15
m_2226,28,28
m_2319,16,23
m_1419,14,16
m_174,29,29
m_3519,11,14
m_223,15,16
m_1589,14,16
m_3880,15,16
m_3961,9,9
m_452,21,23
m_2128,15,19
m_744,19,23
m_2874,17,19
m_3531,31,31
m_91,18,19
m_2539,15,19
m_3062,8,8
m_2768,13,16
m_1814,29,29
m_149,33,33
m_2645,20,22
m_1289,13,18
m_2647,23,23
m_595,4,22
m_1986,11,11
m_3046,7,7
m_665,20,22
m_3465,18,26
m_1767,32,32
m_2154,15,19
m_1600,17,20
m_2937,20,20
m_2854,15,17
m_2073,20,20
m_837,32,32
m_2189,16,21
m_1616,18,23
m_2642,13,15
m_2489,21,23
m_1311,34,34
m_3524,10,15
m_607,11,14
m_3634,19,21
m_1758,18,20
m_2666,15,18
m_3058,18,18
m_2820,19,22
m_895,15,20
m_3989,30,30
m_3887,12,16
m_1918,8,12
m_3913,11,15
m_713,18,22
m_2022,9,9
m_1917,18,18
m_1223,9,9
m_1199,25,25
m_835,18,18
m_655,13,19
m_1488,32,32
m_1384,16,23
m_3632,13,15
m_652,30,30
m_3486,21,24
m_3533,29,29
m_808,17,21
m_1900,23,24
m_1279,19,23
m_1135,13,18
m_616,22,23
m_323,27,28
m_37,14,21
m_2343,33,33
m_1240,12,14
m_2449,29,29
m_1269,17,20
m_375,16,18
m_3755,10,13
m_1897,18,21
m_1052,17,22
m_486,22,23
m_2089,15,28
m_2071,17,17
m_2464,15,16
m_3392,15,17
m_1574,17,18
m_12,10,10
m_3549,10,20
m_3356,14,14
m_1708,27,27
m_3959,13,14
m_2848,16,17
m_3240,22,22
m_2925,16,23
m_3504,14,17
