Date,Value
2017/11/1 0:00,0
2017/11/1 0:00,20
2017/11/1 0:00,20
2017/11/1 0:00,43
2017/11/1 0:00,1
2017/11/1 0:00,6
2017/11/1 0:00,39
2017/11/1 0:00,1
2017/11/1 0:00,64
2017/11/1 0:00,26
2017/11/1 0:00,7
2017/11/1 0:00,32
2017/11/1 0:00,15
2017/11/1 0:00,23
2017/11/1 0:00,4
2017/11/1 0:00,12
2017/11/1 0:00,2
2017/11/1 0:00,18
2017/11/1 0:00,13
2017/11/1 0:00,2
2017/11/1 0:00,29
2017/11/1 0:00,10
2017/11/1 0:00,11
2017/11/1 0:00,2
2017/11/1 0:00,16
2017/11/1 0:00,8
2017/11/1 0:00,11
2017/11/1 0:00,5
2017/11/1 0:00,29
2017/11/1 0:00,1
2017/11/1 0:00,3
2017/11/1 0:00,4
2017/11/1 0:00,2
2017/11/1 0:00,8
2017/11/1 0:00,1
2017/11/1 0:00,9
2017/11/1 0:00,7
2017/11/1 0:00,1
2017/11/1 0:00,2
2017/11/1 0:00,4
2017/11/1 0:00,5
2017/11/1 0:00,13
2017/11/1 0:00,2
2017/11/1 0:00,9
2017/11/1 0:00,1
2017/11/1 0:00,8
2017/11/1 0:00,7
2017/11/1 0:00,2
2017/11/1 0:00,4
2017/11/1 0:00,7
2017/11/1 0:00,1
2017/11/1 0:00,3
2017/11/1 0:00,2
2017/11/1 0:00,14
2017/11/1 0:00,8
2017/11/1 0:00,2
2017/11/1 0:00,15
2017/11/1 0:00,5
2017/11/1 0:00,4
2017/11/1 0:00,3
2017/11/1 0:01,18
2017/11/1 0:01,7
2017/11/1 0:01,12
2017/11/1 0:01,1
2017/11/1 0:01,2
2017/11/1 0:01,6
2017/11/1 0:01,2
2017/11/1 0:01,3
2017/11/1 0:01,6
2017/11/1 0:01,8
2017/11/1 0:01,14
2017/11/1 0:01,7
2017/11/1 0:01,2
2017/11/1 0:01,1
2017/11/1 0:01,3
2017/11/1 0:01,10
2017/11/1 0:01,8
2017/11/1 0:01,1
2017/11/1 0:01,14
2017/11/1 0:01,7
2017/11/1 0:01,12
2017/11/1 0:01,1
2017/11/1 0:01,2
2017/11/1 0:01,3
2017/11/1 0:01,26
2017/11/1 0:01,24
2017/11/1 0:01,16
2017/11/1 0:01,11
2017/11/1 0:01,5
2017/11/1 0:01,3
2017/11/1 0:01,13
2017/11/1 0:01,8
2017/11/1 0:01,3
2017/11/1 0:01,1
2017/11/1 0:01,5
2017/11/1 0:01,2
2017/11/1 0:01,6
2017/11/1 0:01,3
2017/11/1 0:01,11
2017/11/1 0:01,4
2017/11/1 0:01,23
2017/11/1 0:01,4
2017/11/1 0:01,5
2017/11/1 0:01,11
2017/11/1 0:01,3
2017/11/1 0:01,1
2017/11/1 0:01,3
2017/11/1 0:01,5
2017/11/1 0:01,8
2017/11/1 0:01,7
2017/11/1 0:01,1
2017/11/1 0:01,6
2017/11/1 0:01,1
2017/11/1 0:01,2
2017/11/1 0:01,5
2017/11/1 0:01,1
2017/11/1 0:01,8
2017/11/1 0:01,3
2017/11/1 0:01,1
2017/11/1 0:01,4
2017/11/1 0:02,2
2017/11/1 0:02,1
2017/11/1 0:02,22
2017/11/1 0:02,9
2017/11/1 0:02,1
2017/11/1 0:02,4
2017/11/1 0:02,24
2017/11/1 0:02,8
2017/11/1 0:02,5
2017/11/1 0:02,14
2017/11/1 0:02,4
2017/11/1 0:02,9
2017/11/1 0:02,22
2017/11/1 0:02,3
2017/11/1 0:02,12
2017/11/1 0:02,1
2017/11/1 0:02,6
2017/11/1 0:02,22
2017/11/1 0:02,9
2017/11/1 0:02,6
2017/11/1 0:02,1
2017/11/1 0:02,4
2017/11/1 0:02,5
2017/11/1 0:02,1
2017/11/1 0:02,4
2017/11/1 0:02,3
2017/11/1 0:02,1
2017/11/1 0:02,3
2017/11/1 0:02,8
2017/11/1 0:02,1
2017/11/1 0:02,2
2017/11/1 0:02,3
2017/11/1 0:02,2
2017/11/1 0:02,3
2017/11/1 0:02,1
2017/11/1 0:02,8
2017/11/1 0:02,7
2017/11/1 0:02,1
2017/11/1 0:02,8
2017/11/1 0:02,5
2017/11/1 0:02,8
2017/11/1 0:02,27
2017/11/1 0:02,2
2017/11/1 0:02,1
2017/11/1 0:02,11
2017/11/1 0:02,4
2017/11/1 0:02,10
2017/11/1 0:02,4
2017/11/1 0:02,3
2017/11/1 0:02,5
2017/11/1 0:02,20
2017/11/1 0:02,3
2017/11/1 0:02,1
2017/11/1 0:02,10
2017/11/1 0:02,6
2017/11/1 0:02,2
2017/11/1 0:02,14
2017/11/1 0:02,3
2017/11/1 0:02,16
2017/11/1 0:02,2
2017/11/1 0:03,5
2017/11/1 0:03,2
2017/11/1 0:03,4
2017/11/1 0:03,8
2017/11/1 0:03,4
2017/11/1 0:03,27
2017/11/1 0:03,3
2017/11/1 0:03,1
2017/11/1 0:03,6
2017/11/1 0:03,4
2017/11/1 0:03,12
2017/11/1 0:03,3
2017/11/1 0:03,6
2017/11/1 0:03,1
2017/11/1 0:03,4
2017/11/1 0:03,1
2017/11/1 0:03,4
2017/11/1 0:03,1
2017/11/1 0:03,16
2017/11/1 0:03,1
2017/11/1 0:03,5
2017/11/1 0:03,13
2017/11/1 0:03,9
2017/11/1 0:03,5
2017/11/1 0:03,16
2017/11/1 0:03,2
2017/11/1 0:03,1
2017/11/1 0:03,2
2017/11/1 0:03,10
2017/11/1 0:03,4
2017/11/1 0:03,1
2017/11/1 0:03,13
2017/11/1 0:03,10
2017/11/1 0:03,1
2017/11/1 0:03,3
2017/11/1 0:03,1
2017/11/1 0:03,4
2017/11/1 0:03,5
2017/11/1 0:03,4
2017/11/1 0:03,1
2017/11/1 0:03,2
2017/11/1 0:03,1
2017/11/1 0:03,4
2017/11/1 0:03,3
2017/11/1 0:03,10
2017/11/1 0:03,5
2017/11/1 0:03,4
2017/11/1 0:03,1
2017/11/1 0:03,4
2017/11/1 0:03,5
2017/11/1 0:03,6
2017/11/1 0:03,1
2017/11/1 0:03,8
2017/11/1 0:03,4
2017/11/1 0:03,2
2017/11/1 0:03,4
2017/11/1 0:03,7
2017/11/1 0:03,3
2017/11/1 0:03,1
2017/11/1 0:03,2
2017/11/1 0:04,3
2017/11/1 0:04,7
2017/11/1 0:04,1
2017/11/1 0:04,2
2017/11/1 0:04,8
2017/11/1 0:04,5
2017/11/1 0:04,2
2017/11/1 0:04,15
2017/11/1 0:04,4
2017/11/1 0:04,1
2017/11/1 0:04,3
2017/11/1 0:04,14
2017/11/1 0:04,2
2017/11/1 0:04,7
2017/11/1 0:04,1
2017/11/1 0:04,14
2017/11/1 0:04,1
2017/11/1 0:04,3
2017/11/1 0:04,5
2017/11/1 0:04,25
2017/11/1 0:04,3
2017/11/1 0:04,1
2017/11/1 0:04,11
2017/11/1 0:04,8
2017/11/1 0:04,13
2017/11/1 0:04,18
2017/11/1 0:04,2
2017/11/1 0:04,1
2017/11/1 0:04,3
2017/11/1 0:04,6
2017/11/1 0:04,1
2017/11/1 0:04,3
2017/11/1 0:04,6
2017/11/1 0:04,3
2017/11/1 0:04,2
2017/11/1 0:04,5
2017/11/1 0:04,3
2017/11/1 0:04,14
2017/11/1 0:04,13
2017/11/1 0:04,8
2017/11/1 0:04,1
2017/11/1 0:04,6
2017/11/1 0:04,2
2017/11/1 0:04,1
2017/11/1 0:04,11
2017/11/1 0:04,8
2017/11/1 0:04,3
2017/11/1 0:04,1
2017/11/1 0:04,5
2017/11/1 0:04,2
2017/11/1 0:04,1
2017/11/1 0:04,11
2017/11/1 0:04,1
2017/11/1 0:04,2
2017/11/1 0:04,14
2017/11/1 0:04,1
2017/11/1 0:04,4
2017/11/1 0:04,5
2017/11/1 0:04,1
2017/11/1 0:04,2
2017/11/1 0:05,3
2017/11/1 0:05,2
2017/11/1 0:05,7
2017/11/1 0:05,4
2017/11/1 0:05,17
2017/11/1 0:05,9
2017/11/1 0:05,4
2017/11/1 0:05,6
2017/11/1 0:05,9
2017/11/1 0:05,1
2017/11/1 0:05,2
2017/11/1 0:05,7
2017/11/1 0:05,1
2017/11/1 0:05,4
2017/11/1 0:05,6
2017/11/1 0:05,1
2017/11/1 0:05,2
2017/11/1 0:05,1
2017/11/1 0:05,2
2017/11/1 0:05,3
2017/11/1 0:05,1
2017/11/1 0:05,4
2017/11/1 0:05,1
2017/11/1 0:05,10
2017/11/1 0:05,1
2017/11/1 0:05,3
2017/11/1 0:05,2
2017/11/1 0:05,4
2017/11/1 0:05,3
2017/11/1 0:05,10
2017/11/1 0:05,11
2017/11/1 0:05,1
2017/11/1 0:05,14
2017/11/1 0:05,11
2017/11/1 0:05,8
2017/11/1 0:05,15
2017/11/1 0:05,5
2017/11/1 0:05,3
2017/11/1 0:05,12
2017/11/1 0:05,5
2017/11/1 0:05,1
2017/11/1 0:05,3
2017/11/1 0:05,6
2017/11/1 0:05,2
2017/11/1 0:05,3
2017/11/1 0:05,4
2017/11/1 0:05,8
2017/11/1 0:05,6
2017/11/1 0:05,4
2017/11/1 0:05,7
2017/11/1 0:05,1
2017/11/1 0:05,8
2017/11/1 0:05,2
2017/11/1 0:05,4
2017/11/1 0:05,15
2017/11/1 0:05,1
2017/11/1 0:05,3
2017/11/1 0:05,1
2017/11/1 0:05,4
2017/11/1 0:05,1
2017/11/1 0:06,2
2017/11/1 0:06,4
2017/11/1 0:06,2
2017/11/1 0:06,4
2017/11/1 0:06,1
2017/11/1 0:06,15
2017/11/1 0:06,4
2017/11/1 0:06,2
2017/11/1 0:06,3
2017/11/1 0:06,1
2017/11/1 0:06,5
2017/11/1 0:06,3
2017/11/1 0:06,1
2017/11/1 0:06,2
2017/11/1 0:06,1
2017/11/1 0:06,18
2017/11/1 0:06,1
2017/11/1 0:06,5
2017/11/1 0:06,1
2017/11/1 0:06,4
2017/11/1 0:06,2
2017/11/1 0:06,9
2017/11/1 0:06,1
2017/11/1 0:06,5
2017/11/1 0:06,4
2017/11/1 0:06,3
2017/11/1 0:06,18
2017/11/1 0:06,12
2017/11/1 0:06,2
2017/11/1 0:06,1
2017/11/1 0:06,10
2017/11/1 0:06,1
2017/11/1 0:06,2
2017/11/1 0:06,4
2017/11/1 0:06,1
2017/11/1 0:06,4
2017/11/1 0:06,3
2017/11/1 0:06,7
2017/11/1 0:06,9
2017/11/1 0:06,27
2017/11/1 0:06,20
2017/11/1 0:06,1
2017/11/1 0:06,3
2017/11/1 0:06,1
2017/11/1 0:06,2
2017/11/1 0:06,1
2017/11/1 0:06,2
2017/11/1 0:06,11
2017/11/1 0:06,4
2017/11/1 0:06,1
2017/11/1 0:06,3
2017/11/1 0:06,1
2017/11/1 0:06,3
2017/11/1 0:06,1
2017/11/1 0:06,2
2017/11/1 0:06,1
2017/11/1 0:06,8
2017/11/1 0:06,2
2017/11/1 0:06,3
2017/11/1 0:06,4
2017/11/1 0:07,7
2017/11/1 0:07,2
2017/11/1 0:07,1
2017/11/1 0:07,16
2017/11/1 0:07,1
2017/11/1 0:07,2
2017/11/1 0:07,1
2017/11/1 0:07,6
2017/11/1 0:07,2
2017/11/1 0:07,3
2017/11/1 0:07,2
2017/11/1 0:07,1
2017/11/1 0:07,4
2017/11/1 0:07,5
2017/11/1 0:07,2
2017/11/1 0:07,1
2017/11/1 0:07,10
2017/11/1 0:07,3
2017/11/1 0:07,1
2017/11/1 0:07,17
2017/11/1 0:07,1
2017/11/1 0:07,4
2017/11/1 0:07,1
2017/11/1 0:07,2
2017/11/1 0:07,4
2017/11/1 0:07,1
2017/11/1 0:07,7
2017/11/1 0:07,6
2017/11/1 0:07,1
2017/11/1 0:07,6
2017/11/1 0:07,2
2017/11/1 0:07,3
2017/11/1 0:07,2
2017/11/1 0:07,4
2017/11/1 0:07,1
2017/11/1 0:07,3
2017/11/1 0:07,1
2017/11/1 0:07,8
2017/11/1 0:07,1
2017/11/1 0:07,6
2017/11/1 0:07,11
2017/11/1 0:07,2
2017/11/1 0:07,7
2017/11/1 0:07,2
2017/11/1 0:07,4
2017/11/1 0:07,7
2017/11/1 0:07,1
2017/11/1 0:07,3
2017/11/1 0:07,4
2017/11/1 0:07,3
2017/11/1 0:07,8
2017/11/1 0:07,1
2017/11/1 0:07,6
2017/11/1 0:07,7
2017/11/1 0:07,2
2017/11/1 0:07,3
2017/11/1 0:07,1
2017/11/1 0:07,4
2017/11/1 0:07,1
2017/11/1 0:07,5
2017/11/1 0:08,1
2017/11/1 0:08,6
2017/11/1 0:08,8
2017/11/1 0:08,1
2017/11/1 0:08,3
2017/11/1 0:08,1
2017/11/1 0:08,4
2017/11/1 0:08,1
2017/11/1 0:08,4
2017/11/1 0:08,2
2017/11/1 0:08,1
2017/11/1 0:08,7
2017/11/1 0:08,3
2017/11/1 0:08,1
2017/11/1 0:08,3
2017/11/1 0:08,1
2017/11/1 0:08,2
2017/11/1 0:08,5
2017/11/1 0:08,1
2017/11/1 0:08,12
2017/11/1 0:08,6
2017/11/1 0:08,1
2017/11/1 0:08,2
2017/11/1 0:08,1
2017/11/1 0:08,4
2017/11/1 0:08,3
2017/11/1 0:08,4
2017/11/1 0:08,9
2017/11/1 0:08,1
2017/11/1 0:08,4
2017/11/1 0:08,1
2017/11/1 0:08,8
2017/11/1 0:08,1
2017/11/1 0:08,5
2017/11/1 0:08,2
2017/11/1 0:08,1
2017/11/1 0:08,2
2017/11/1 0:08,1
2017/11/1 0:08,2
2017/11/1 0:08,1
2017/11/1 0:08,3
2017/11/1 0:08,22
2017/11/1 0:08,8
2017/11/1 0:08,4
2017/11/1 0:08,2
2017/11/1 0:08,4
2017/11/1 0:08,1
2017/11/1 0:08,4
2017/11/1 0:08,1
2017/11/1 0:08,12
2017/11/1 0:08,5
2017/11/1 0:08,1
2017/11/1 0:08,4
2017/11/1 0:08,14
2017/11/1 0:08,1
2017/11/1 0:08,15
2017/11/1 0:08,3
2017/11/1 0:08,1
2017/11/1 0:08,14
2017/11/1 0:08,13
2017/11/1 0:09,2
2017/11/1 0:09,19
2017/11/1 0:09,12
2017/11/1 0:09,8
2017/11/1 0:09,3
2017/11/1 0:09,1
2017/11/1 0:09,9
2017/11/1 0:09,2
2017/11/1 0:09,8
2017/11/1 0:09,6
2017/11/1 0:09,4
2017/11/1 0:09,1
2017/11/1 0:09,5
2017/11/1 0:09,2
2017/11/1 0:09,8
2017/11/1 0:09,1
2017/11/1 0:09,17
2017/11/1 0:09,1
2017/11/1 0:09,3
2017/11/1 0:09,1
2017/11/1 0:09,2
2017/11/1 0:09,6
2017/11/1 0:09,14
2017/11/1 0:09,3
2017/11/1 0:09,4
2017/11/1 0:09,1
2017/11/1 0:09,14
2017/11/1 0:09,1
2017/11/1 0:09,16
2017/11/1 0:09,1
2017/11/1 0:09,9
2017/11/1 0:09,2
2017/11/1 0:09,7
2017/11/1 0:09,2
2017/11/1 0:09,8
2017/11/1 0:09,1
2017/11/1 0:09,11
2017/11/1 0:09,13
2017/11/1 0:09,20
2017/11/1 0:09,1
2017/11/1 0:09,10
2017/11/1 0:09,5
2017/11/1 0:09,4
2017/11/1 0:09,7
2017/11/1 0:09,9
2017/11/1 0:09,1
2017/11/1 0:09,13
2017/11/1 0:09,1
2017/11/1 0:09,10
2017/11/1 0:09,1
2017/11/1 0:09,3
2017/11/1 0:09,10
2017/11/1 0:09,9
2017/11/1 0:09,1
2017/11/1 0:09,17
2017/11/1 0:09,2
2017/11/1 0:09,1
2017/11/1 0:09,4
2017/11/1 0:09,22
2017/11/1 0:09,7
2017/11/1 0:10,1
2017/11/1 0:10,4
2017/11/1 0:10,10
2017/11/1 0:10,4
2017/11/1 0:10,3
2017/11/1 0:10,15
2017/11/1 0:10,6
2017/11/1 0:10,8
2017/11/1 0:10,10
2017/11/1 0:10,5
2017/11/1 0:10,7
2017/11/1 0:10,10
2017/11/1 0:10,7
2017/11/1 0:10,1
2017/11/1 0:10,2
2017/11/1 0:10,3
2017/11/1 0:10,2
2017/11/1 0:10,5
2017/11/1 0:10,6
2017/11/1 0:10,1
2017/11/1 0:10,2
2017/11/1 0:10,5
2017/11/1 0:10,4
2017/11/1 0:10,7
2017/11/1 0:10,3
2017/11/1 0:10,7
2017/11/1 0:10,1
2017/11/1 0:10,14
2017/11/1 0:10,4
2017/11/1 0:10,8
2017/11/1 0:10,9
2017/11/1 0:10,4
2017/11/1 0:10,1
2017/11/1 0:10,8
2017/11/1 0:10,18
2017/11/1 0:10,20
2017/11/1 0:10,11
2017/11/1 0:10,5
2017/11/1 0:10,10
2017/11/1 0:10,1
2017/11/1 0:10,2
2017/11/1 0:10,1
2017/11/1 0:10,5
2017/11/1 0:10,3
2017/11/1 0:10,7
2017/11/1 0:10,4
2017/11/1 0:10,1
2017/11/1 0:10,5
2017/11/1 0:10,10
2017/11/1 0:10,4
2017/11/1 0:10,2
2017/11/1 0:10,9
2017/11/1 0:10,1
2017/11/1 0:10,11
2017/11/1 0:10,1
2017/11/1 0:10,2
2017/11/1 0:10,6
2017/11/1 0:10,8
2017/11/1 0:10,1
2017/11/1 0:10,2
2017/11/1 0:11,1
2017/11/1 0:11,6
2017/11/1 0:11,2
2017/11/1 0:11,1
2017/11/1 0:11,7
2017/11/1 0:11,1
2017/11/1 0:11,2
2017/11/1 0:11,4
2017/11/1 0:11,3
2017/11/1 0:11,13
2017/11/1 0:11,1
2017/11/1 0:11,18
2017/11/1 0:11,13
2017/11/1 0:11,5
2017/11/1 0:11,9
2017/11/1 0:11,1
2017/11/1 0:11,9
2017/11/1 0:11,6
2017/11/1 0:11,3
2017/11/1 0:11,2
2017/11/1 0:11,15
2017/11/1 0:11,23
2017/11/1 0:11,1
2017/11/1 0:11,43
2017/11/1 0:11,103
2017/11/1 0:11,3
2017/11/1 0:11,13
2017/11/1 0:11,48
2017/11/1 0:11,1
2017/11/1 0:11,10
2017/11/1 0:11,12
2017/11/1 0:11,37
2017/11/1 0:11,1
2017/11/1 0:11,3
2017/11/1 0:11,1
2017/11/1 0:11,4
2017/11/1 0:11,1
2017/11/1 0:11,10
2017/11/1 0:11,5
2017/11/1 0:11,2
2017/11/1 0:11,8
2017/11/1 0:11,23
2017/11/1 0:11,1
2017/11/1 0:11,2
2017/11/1 0:11,1
2017/11/1 0:11,35
2017/11/1 0:11,11
2017/11/1 0:11,4
2017/11/1 0:11,14
2017/11/1 0:11,16
2017/11/1 0:11,10
2017/11/1 0:11,1
2017/11/1 0:11,7
2017/11/1 0:11,5
2017/11/1 0:11,3
2017/11/1 0:11,1
2017/11/1 0:11,6
2017/11/1 0:11,7
2017/11/1 0:11,4
2017/11/1 0:11,11
2017/11/1 0:12,2
2017/11/1 0:12,1
2017/11/1 0:12,13
2017/11/1 0:12,1
2017/11/1 0:12,3
2017/11/1 0:12,6
2017/11/1 0:12,1
2017/11/1 0:12,5
2017/11/1 0:12,2
2017/11/1 0:12,3
2017/11/1 0:12,1
2017/11/1 0:12,7
2017/11/1 0:12,9
2017/11/1 0:12,1
2017/11/1 0:12,8
2017/11/1 0:12,16
2017/11/1 0:12,6
2017/11/1 0:12,11
2017/11/1 0:12,2
2017/11/1 0:12,6
2017/11/1 0:12,3
2017/11/1 0:12,1
2017/11/1 0:12,6
2017/11/1 0:12,4
2017/11/1 0:12,3
2017/11/1 0:12,7
2017/11/1 0:12,5
2017/11/1 0:12,1
2017/11/1 0:12,5
2017/11/1 0:12,2
2017/11/1 0:12,3
2017/11/1 0:12,18
2017/11/1 0:12,50
2017/11/1 0:12,6
2017/11/1 0:12,48
2017/11/1 0:12,4
2017/11/1 0:12,1
2017/11/1 0:12,33
2017/11/1 0:12,4
2017/11/1 0:12,7
2017/11/1 0:12,3
2017/11/1 0:12,13
2017/11/1 0:12,15
2017/11/1 0:12,48
2017/11/1 0:12,4
2017/11/1 0:12,10
2017/11/1 0:12,14
2017/11/1 0:12,4
2017/11/1 0:12,1
2017/11/1 0:12,4
2017/11/1 0:12,3
2017/11/1 0:12,10
2017/11/1 0:12,8
2017/11/1 0:12,1
2017/11/1 0:12,5
2017/11/1 0:12,1
2017/11/1 0:12,2
2017/11/1 0:12,7
2017/11/1 0:12,2
2017/11/1 0:12,3
2017/11/1 0:13,11
2017/11/1 0:13,3
2017/11/1 0:13,1
2017/11/1 0:13,2
2017/11/1 0:13,6
2017/11/1 0:13,2
2017/11/1 0:13,10
2017/11/1 0:13,14
2017/11/1 0:13,2
2017/11/1 0:13,3
2017/11/1 0:13,4
2017/11/1 0:13,9
2017/11/1 0:13,4
2017/11/1 0:13,1
2017/11/1 0:13,2
2017/11/1 0:13,1
2017/11/1 0:13,6
2017/11/1 0:13,12
2017/11/1 0:13,1
2017/11/1 0:13,3
2017/11/1 0:13,1
2017/11/1 0:13,5
2017/11/1 0:13,15
2017/11/1 0:13,5
2017/11/1 0:13,8
2017/11/1 0:13,4
2017/11/1 0:13,2
2017/11/1 0:13,26
2017/11/1 0:13,53
2017/11/1 0:13,2
2017/11/1 0:13,3
2017/11/1 0:13,20
2017/11/1 0:13,2
2017/11/1 0:13,1
2017/11/1 0:13,6
2017/11/1 0:13,3
2017/11/1 0:13,1
2017/11/1 0:13,15
2017/11/1 0:13,1
2017/11/1 0:13,4
2017/11/1 0:13,1
2017/11/1 0:13,19
2017/11/1 0:13,5
2017/11/1 0:13,1
2017/11/1 0:13,36
2017/11/1 0:13,22
2017/11/1 0:13,3
2017/11/1 0:13,1
2017/11/1 0:13,2
2017/11/1 0:13,46
2017/11/1 0:13,1
2017/11/1 0:13,10
2017/11/1 0:13,1
2017/11/1 0:13,14
2017/11/1 0:13,1
2017/11/1 0:13,19
2017/11/1 0:13,1
2017/11/1 0:13,21
2017/11/1 0:13,8
2017/11/1 0:13,5
2017/11/1 0:14,8
2017/11/1 0:14,24
2017/11/1 0:14,1
2017/11/1 0:14,4
2017/11/1 0:14,3
2017/11/1 0:14,1
2017/11/1 0:14,3
2017/11/1 0:14,4
2017/11/1 0:14,2
2017/11/1 0:14,3
2017/11/1 0:14,1
2017/11/1 0:14,2
2017/11/1 0:14,9
2017/11/1 0:14,7
2017/11/1 0:14,2
2017/11/1 0:14,3
2017/11/1 0:14,1
2017/11/1 0:14,3
2017/11/1 0:14,2
2017/11/1 0:14,1
2017/11/1 0:14,2
2017/11/1 0:14,3
2017/11/1 0:14,10
2017/11/1 0:14,4
2017/11/1 0:14,1
2017/11/1 0:14,3
2017/11/1 0:14,2
2017/11/1 0:14,8
2017/11/1 0:14,3
2017/11/1 0:14,4
2017/11/1 0:14,2
2017/11/1 0:14,5
2017/11/1 0:14,1
2017/11/1 0:14,3
2017/11/1 0:14,1
2017/11/1 0:14,11
2017/11/1 0:14,8
2017/11/1 0:14,5
2017/11/1 0:14,1
2017/11/1 0:14,4
2017/11/1 0:14,6
2017/11/1 0:14,17
2017/11/1 0:14,4
2017/11/1 0:14,1
2017/11/1 0:14,9
2017/11/1 0:14,16
2017/11/1 0:14,9
2017/11/1 0:14,8
2017/11/1 0:14,4
2017/11/1 0:14,1
2017/11/1 0:14,23
2017/11/1 0:14,5
2017/11/1 0:14,8
2017/11/1 0:14,3
2017/11/1 0:14,20
2017/11/1 0:14,12
2017/11/1 0:14,46
2017/11/1 0:14,1
2017/11/1 0:14,6
2017/11/1 0:14,3
2017/11/1 0:15,2
2017/11/1 0:15,1
2017/11/1 0:15,3
2017/11/1 0:15,10
2017/11/1 0:15,8
2017/11/1 0:15,1
2017/11/1 0:15,3
2017/11/1 0:15,2
2017/11/1 0:15,10
2017/11/1 0:15,1
2017/11/1 0:15,3
2017/11/1 0:15,1
2017/11/1 0:15,9
2017/11/1 0:15,1
2017/11/1 0:15,6
2017/11/1 0:15,4
2017/11/1 0:15,5
2017/11/1 0:15,8
2017/11/1 0:15,1
2017/11/1 0:15,11
2017/11/1 0:15,1
2017/11/1 0:15,5
2017/11/1 0:15,1
2017/11/1 0:15,7
2017/11/1 0:15,4
2017/11/1 0:15,1
2017/11/1 0:15,3
