Date,Value
2017/11/1 0:00:00,3
2017/11/1 0:00:01,5
2017/11/1 0:00:02,1
2017/11/1 0:00:03,4
2017/11/1 0:00:04,1
2017/11/1 0:00:05,5
2017/11/1 0:00:06,3
2017/11/1 0:00:07,5
2017/11/1 0:00:08,5
2017/11/1 0:00:09,11
2017/11/1 0:00:10,10
2017/11/1 0:00:11,4
2017/11/1 0:00:12,8
2017/11/1 0:00:13,18
2017/11/1 0:00:14,15
2017/11/1 0:00:15,23
2017/11/1 0:00:16,12
2017/11/1 0:00:17,10
2017/11/1 0:00:18,10
2017/11/1 0:00:19,3
2017/11/1 0:00:20,6
2017/11/1 0:00:21,5
2017/11/1 0:00:22,3
2017/11/1 0:00:23,1
2017/11/1 0:00:24,5
2017/11/1 0:00:25,3
2017/11/1 0:00:26,5
2017/11/1 0:00:27,1
2017/11/1 0:00:28,11
2017/11/1 0:00:29,23
2017/11/1 0:00:30,16
2017/11/1 0:00:31,11
2017/11/1 0:00:32,17
2017/11/1 0:00:33,8
2017/11/1 0:00:34,2
2017/11/1 0:00:35,8
2017/11/1 0:00:36,5
2017/11/1 0:00:37,9
2017/11/1 0:00:38,1
2017/11/1 0:00:39,1
2017/11/1 0:00:40,8
2017/11/1 0:00:41,20
2017/11/1 0:00:42,8
2017/11/1 0:00:43,2
2017/11/1 0:00:44,2
2017/11/1 0:00:45,11
2017/11/1 0:00:46,8
2017/11/1 0:00:47,11
2017/11/1 0:00:48,17
2017/11/1 0:00:49,1
2017/11/1 0:00:50,5
2017/11/1 0:00:51,31
2017/11/1 0:00:52,3
2017/11/1 0:00:53,1
2017/11/1 0:00:54,5
2017/11/1 0:00:55,2
2017/11/1 0:00:56,16
2017/11/1 0:00:57,5
2017/11/1 0:00:58,5
2017/11/1 0:00:59,4
2017/11/1 0:01:00,5
2017/11/1 0:01:01,1
2017/11/1 0:01:02,16
2017/11/1 0:01:03,9
2017/11/1 0:01:04,12
2017/11/1 0:01:05,3
2017/11/1 0:01:06,6
2017/11/1 0:01:07,5
2017/11/1 0:01:08,3
2017/11/1 0:01:09,3
2017/11/1 0:01:10,1
2017/11/1 0:01:11,2
2017/11/1 0:01:12,8
2017/11/1 0:01:13,2
2017/11/1 0:01:14,3
2017/11/1 0:01:15,13
2017/11/1 0:01:16,3
2017/11/1 0:01:17,15
2017/11/1 0:01:18,6
2017/11/1 0:01:19,16
2017/11/1 0:01:20,16
2017/11/1 0:01:21,1
2017/11/1 0:01:22,8
2017/11/1 0:01:23,1
2017/11/1 0:01:24,1
2017/11/1 0:01:25,1
2017/11/1 0:01:26,11
2017/11/1 0:01:27,11
2017/11/1 0:01:28,10
2017/11/1 0:01:29,1
2017/11/1 0:01:30,2
2017/11/1 0:01:31,11
2017/11/1 0:01:32,5
2017/11/1 0:01:33,1
2017/11/1 0:01:34,5
2017/11/1 0:01:35,3
2017/11/1 0:01:36,1
2017/11/1 0:01:37,1
2017/11/1 0:01:38,2
2017/11/1 0:01:39,4
2017/11/1 0:01:40,1
2017/11/1 0:01:41,2
2017/11/1 0:01:42,12
2017/11/1 0:01:43,1
2017/11/1 0:01:44,5
2017/11/1 0:01:45,6
2017/11/1 0:01:46,4
2017/11/1 0:01:47,1
2017/11/1 0:01:48,3
2017/11/1 0:01:49,1
2017/11/1 0:01:50,2
2017/11/1 0:01:51,4
2017/11/1 0:01:52,4
2017/11/1 0:01:53,8
2017/11/1 0:01:54,1
2017/11/1 0:01:55,6
2017/11/1 0:01:56,7
2017/11/1 0:01:57,6
2017/11/1 0:01:58,3
2017/11/1 0:01:59,1
2017/11/1 0:02:00,1
2017/11/1 0:02:01,16
2017/11/1 0:02:02,3
2017/11/1 0:02:03,4
2017/11/1 0:02:04,8
2017/11/1 0:02:05,8
2017/11/1 0:02:06,2
2017/11/1 0:02:07,10
2017/11/1 0:02:08,10
2017/11/1 0:02:09,2
2017/11/1 0:02:10,3
2017/11/1 0:02:11,11
2017/11/1 0:02:12,2
2017/11/1 0:02:13,1
2017/11/1 0:02:14,8
2017/11/1 0:02:15,1
2017/11/1 0:02:16,11
2017/11/1 0:02:17,3
2017/11/1 0:02:18,3
2017/11/1 0:02:19,1
2017/11/1 0:02:20,23
2017/11/1 0:02:21,2
2017/11/1 0:02:22,6
2017/11/1 0:02:23,3
2017/11/1 0:02:24,3
2017/11/1 0:02:25,17
2017/11/1 0:02:26,3
2017/11/1 0:02:27,3
2017/11/1 0:02:28,9
2017/11/1 0:02:29,1
2017/11/1 0:02:30,1
2017/11/1 0:02:31,1
2017/11/1 0:02:32,2
2017/11/1 0:02:33,1
2017/11/1 0:02:34,2
2017/11/1 0:02:35,4
2017/11/1 0:02:36,2
2017/11/1 0:02:37,7
2017/11/1 0:02:38,14
2017/11/1 0:02:39,5
2017/11/1 0:02:40,2
2017/11/1 0:02:41,10
2017/11/1 0:02:42,1
2017/11/1 0:02:43,11
2017/11/1 0:02:44,12
2017/11/1 0:02:45,2
2017/11/1 0:02:46,4
2017/11/1 0:02:47,6
2017/11/1 0:02:48,11
2017/11/1 0:02:49,11
2017/11/1 0:02:50,12
2017/11/1 0:02:51,3
2017/11/1 0:02:52,1
2017/11/1 0:02:53,20
2017/11/1 0:02:54,1
2017/11/1 0:02:55,9
2017/11/1 0:02:56,1
2017/11/1 0:02:57,1
2017/11/1 0:02:58,4
2017/11/1 0:02:59,6
2017/11/1 0:03:00,8
2017/11/1 0:03:01,5
2017/11/1 0:03:02,2
2017/11/1 0:03:03,5
2017/11/1 0:03:04,1
2017/11/1 0:03:05,10
2017/11/1 0:03:06,8
2017/11/1 0:03:07,1
2017/11/1 0:03:08,5
2017/11/1 0:03:09,7
2017/11/1 0:03:10,2
2017/11/1 0:03:11,23
2017/11/1 0:03:12,9
2017/11/1 0:03:13,3
2017/11/1 0:03:14,153
2017/11/1 0:03:15,8
2017/11/1 0:03:16,17
2017/11/1 0:03:17,1
2017/11/1 0:03:18,155
2017/11/1 0:03:19,5
2017/11/1 0:03:20,4
2017/11/1 0:03:21,1
2017/11/1 0:03:22,2
2017/11/1 0:03:23,9
2017/11/1 0:03:24,8
2017/11/1 0:03:25,3
2017/11/1 0:03:26,6
2017/11/1 0:03:27,5
2017/11/1 0:03:28,8
2017/11/1 0:03:29,26
2017/11/1 0:03:30,2
2017/11/1 0:03:31,4
2017/11/1 0:03:32,5
2017/11/1 0:03:33,6
2017/11/1 0:03:34,8
2017/11/1 0:03:35,1
2017/11/1 0:03:36,3
2017/11/1 0:03:37,2
2017/11/1 0:03:38,5
2017/11/1 0:03:39,2
2017/11/1 0:03:40,23
2017/11/1 0:03:41,3
2017/11/1 0:03:42,17
2017/11/1 0:03:43,7
2017/11/1 0:03:44,8
2017/11/1 0:03:45,5
2017/11/1 0:03:46,1
2017/11/1 0:03:47,2
2017/11/1 0:03:48,33
2017/11/1 0:03:49,5
2017/11/1 0:03:50,15
2017/11/1 0:03:51,5
2017/11/1 0:03:52,2
2017/11/1 0:03:53,11
2017/11/1 0:03:54,5
2017/11/1 0:03:55,5
2017/11/1 0:03:56,3
2017/11/1 0:03:57,11
2017/11/1 0:03:58,5
2017/11/1 0:03:59,9
2017/11/1 0:04:00,5
2017/11/1 0:04:01,5
2017/11/1 0:04:02,12
2017/11/1 0:04:03,13
2017/11/1 0:04:04,6
2017/11/1 0:04:05,1
2017/11/1 0:04:06,5
2017/11/1 0:04:07,5
2017/11/1 0:04:08,2
2017/11/1 0:04:09,3
2017/11/1 0:04:10,5
2017/11/1 0:04:11,5
2017/11/1 0:04:12,5
2017/11/1 0:04:13,4
2017/11/1 0:04:14,27
2017/11/1 0:04:15,4
2017/11/1 0:04:16,1
2017/11/1 0:04:17,12
2017/11/1 0:04:18,5
2017/11/1 0:04:19,1
2017/11/1 0:04:20,11
2017/11/1 0:04:21,1
2017/11/1 0:04:22,8
2017/11/1 0:04:23,7
2017/11/1 0:04:24,5
2017/11/1 0:04:25,15
2017/11/1 0:04:26,5
2017/11/1 0:04:27,12
2017/11/1 0:04:28,4
2017/11/1 0:04:29,7
2017/11/1 0:04:30,6
2017/11/1 0:04:31,5
2017/11/1 0:04:32,7
2017/11/1 0:04:33,12
2017/11/1 0:04:34,1
2017/11/1 0:04:35,3
2017/11/1 0:04:36,16
2017/11/1 0:04:37,5
2017/11/1 0:04:38,5
2017/11/1 0:04:39,9
2017/11/1 0:04:40,7
2017/11/1 0:04:41,3
2017/11/1 0:04:42,11
2017/11/1 0:04:43,23
2017/11/1 0:04:44,8
2017/11/1 0:04:45,6
2017/11/1 0:04:46,7
2017/11/1 0:04:47,13
2017/11/1 0:04:48,5
2017/11/1 0:04:49,1
2017/11/1 0:04:50,1
2017/11/1 0:04:51,1
2017/11/1 0:04:52,7
2017/11/1 0:04:53,5
2017/11/1 0:04:54,1
2017/11/1 0:04:55,1
2017/11/1 0:04:56,2
2017/11/1 0:04:57,2
2017/11/1 0:04:58,4
2017/11/1 0:04:59,5
2017/11/1 0:05:00,4
2017/11/1 0:05:01,6
2017/11/1 0:05:02,2
2017/11/1 0:05:03,9
2017/11/1 0:05:04,5
2017/11/1 0:05:05,7
2017/11/1 0:05:06,6
2017/11/1 0:05:07,5
2017/11/1 0:05:08,5
2017/11/1 0:05:09,4
2017/11/1 0:05:10,5
2017/11/1 0:05:11,10
2017/11/1 0:05:12,3
2017/11/1 0:05:13,7
2017/11/1 0:05:14,5
2017/11/1 0:05:15,10
2017/11/1 0:05:16,35
2017/11/1 0:05:17,25
2017/11/1 0:05:18,1
2017/11/1 0:05:19,10
2017/11/1 0:05:20,8
2017/11/1 0:05:21,15
2017/11/1 0:05:22,14
2017/11/1 0:05:23,8
2017/11/1 0:05:24,4
2017/11/1 0:05:25,11
2017/11/1 0:05:26,12
2017/11/1 0:05:27,5
2017/11/1 0:05:28,7
