Date,Value
2011/2/10,16.09
2011/2/11,15.69
2011/2/14,15.95
2011/2/15,16.370001
2011/2/16,16.719999
2011/2/17,16.59
2011/2/18,16.43
2011/2/22,20.799999
2011/2/23,22.129999
2011/2/24,21.32
2011/2/25,19.219999
2011/2/28,18.35
2011/3/1,21.01
2011/3/2,20.700001
2011/3/3,18.6
2011/3/4,19.059999
2011/3/7,20.66
2011/3/8,19.82
2011/3/9,20.219999
2011/3/10,21.879999
2011/3/11,20.08
2011/3/14,21.129999
2011/3/15,24.32
2011/3/16,29.4
2011/3/17,26.370001
2011/3/18,24.440001
2011/3/21,20.610001
2011/3/22,20.209999
2011/3/23,19.17
2011/3/24,18
2011/3/25,17.91
2011/3/28,19.440001
2011/3/29,18.16
2011/3/30,17.709999
2011/3/31,17.74
2011/4/1,17.4
2011/4/4,17.5
2011/4/5,17.25
2011/4/6,16.9
2011/4/7,17.110001
2011/4/8,17.870001
2011/4/11,16.59
2011/4/12,17.09
2011/4/13,16.92
2011/4/14,16.27
2011/4/15,15.32
2011/4/18,16.959999
2011/4/19,15.83
2011/4/20,15.07
2011/4/21,14.69
2011/4/25,15.77
2011/4/26,15.62
2011/4/27,15.35
2011/4/28,14.62
2011/4/29,14.75
2011/5/2,15.99
2011/5/3,16.700001
2011/5/4,17.08
2011/5/5,18.200001
2011/5/6,18.4
2011/5/9,17.16
2011/5/10,15.91
2011/5/11,16.950001
2011/5/12,16.030001
2011/5/13,17.07
2011/5/16,18.24
2011/5/17,17.549999
2011/5/18,16.23
2011/5/19,15.52
2011/5/20,17.43
2011/5/23,18.27
2011/5/24,17.82
2011/5/25,17.07
2011/5/26,16.09
2011/5/27,15.98
2011/5/31,15.45
2011/6/1,18.299999
2011/6/2,18.09
2011/6/3,17.950001
2011/6/6,18.49
2011/6/7,18.07
2011/6/8,18.790001
2011/6/9,17.77
2011/6/10,18.860001
2011/6/13,19.610001
2011/6/14,18.26
2011/6/15,21.32
2011/6/16,22.73
2011/6/17,21.85
2011/6/20,19.99
2011/6/21,18.860001
2011/6/22,18.52
2011/6/23,19.290001
2011/6/24,21.1
2011/6/27,20.559999
2011/6/28,19.17
2011/6/29,17.27
2011/6/30,16.52
2011/7/1,15.87
2011/7/5,16.059999
2011/7/6,16.34
2011/7/7,15.95
2011/7/8,15.95
