Date,Value
2018/11/1 0:00:00,3
2018/11/1 0:00:01,26
2018/11/1 0:00:02,37
2018/11/1 0:00:03,37
2018/11/1 0:00:04,82
2018/11/1 0:00:05,244
2018/11/1 0:00:06,190
2018/11/1 0:00:07,61
2018/11/1 0:00:08,91
2018/11/1 0:00:09,103
2018/11/1 0:00:10,73
2018/11/1 0:00:11,83
2018/11/1 0:00:12,60
2018/11/1 0:00:13,35
2018/11/1 0:00:14,37
2018/11/1 0:00:15,9
2018/11/1 0:00:16,68
2018/11/1 0:00:17,24
2018/11/1 0:00:18,20
2018/11/1 0:00:19,26
2018/11/1 0:00:20,31
2018/11/1 0:00:21,26
2018/11/1 0:00:22,31
2018/11/1 0:00:23,9
2018/11/1 0:00:24,16
2018/11/1 0:00:25,8
2018/11/1 0:00:26,33
2018/11/1 0:00:27,6
2018/11/1 0:00:28,24
2018/11/1 0:00:29,13
2018/11/1 0:00:30,7
2018/11/1 0:00:31,16
2018/11/1 0:00:32,31
2018/11/1 0:00:33,12
2018/11/1 0:00:34,42
2018/11/1 0:00:35,39
2018/11/1 0:00:36,12
2018/11/1 0:00:37,34
2018/11/1 0:00:38,35
2018/11/1 0:00:39,14
2018/11/1 0:00:40,7
2018/11/1 0:00:41,25
2018/11/1 0:00:42,20
2018/11/1 0:00:43,11
2018/11/1 0:00:44,10
2018/11/1 0:00:45,28
2018/11/1 0:00:46,15
2018/11/1 0:00:47,20
2018/11/1 0:00:48,10
2018/11/1 0:00:49,8
2018/11/1 0:00:50,26
2018/11/1 0:00:51,10
2018/11/1 0:00:52,38
2018/11/1 0:00:53,38
2018/11/1 0:00:54,46
2018/11/1 0:00:55,6
2018/11/1 0:00:56,17
2018/11/1 0:00:57,27
2018/11/1 0:00:58,9
2018/11/1 0:00:59,21
2018/11/1 0:01:00,10
2018/11/1 0:01:01,26
2018/11/1 0:01:02,22
2018/11/1 0:01:03,8
2018/11/1 0:01:04,8
2018/11/1 0:01:05,3
2018/11/1 0:01:06,19
2018/11/1 0:01:07,26
2018/11/1 0:01:08,12
2018/11/1 0:01:09,23
2018/11/1 0:01:10,14
2018/11/1 0:01:11,34
2018/11/1 0:01:12,10
2018/11/1 0:01:13,14
2018/11/1 0:01:14,14
2018/11/1 0:01:15,1
2018/11/1 0:01:16,14
2018/11/1 0:01:17,30
2018/11/1 0:01:18,12
2018/11/1 0:01:19,13
2018/11/1 0:01:20,9
2018/11/1 0:01:21,33
2018/11/1 0:01:22,6
2018/11/1 0:01:23,9
2018/11/1 0:01:24,25
2018/11/1 0:01:25,4
2018/11/1 0:01:26,5
2018/11/1 0:01:27,24
2018/11/1 0:01:28,9
2018/11/1 0:01:29,22
2018/11/1 0:01:30,5
2018/11/1 0:01:31,9
2018/11/1 0:01:32,18
2018/11/1 0:01:33,5
2018/11/1 0:01:34,8
2018/11/1 0:01:35,4
2018/11/1 0:01:36,6
2018/11/1 0:01:37,22
2018/11/1 0:01:38,31
2018/11/1 0:01:39,15
2018/11/1 0:01:40,16
2018/11/1 0:01:41,13
2018/11/1 0:01:42,10
2018/11/1 0:01:43,13
2018/11/1 0:01:44,47
2018/11/1 0:01:45,10
2018/11/1 0:01:46,32
2018/11/1 0:01:47,6
2018/11/1 0:01:48,5
2018/11/1 0:01:49,7
2018/11/1 0:01:50,13
2018/11/1 0:01:51,3
2018/11/1 0:01:52,11
2018/11/1 0:01:53,5
2018/11/1 0:01:54,3
2018/11/1 0:01:55,11
2018/11/1 0:01:56,9
2018/11/1 0:01:57,13
2018/11/1 0:01:58,21
2018/11/1 0:01:59,4
2018/11/1 0:02:00,6
2018/11/1 0:02:01,8
2018/11/1 0:02:02,29
2018/11/1 0:02:03,28
2018/11/1 0:02:04,12
2018/11/1 0:02:05,7
2018/11/1 0:02:06,8
2018/11/1 0:02:07,3
2018/11/1 0:02:08,11
2018/11/1 0:02:09,7
2018/11/1 0:02:10,11
